NUM	How many miles of corridors are in The Pentagon ?
LOC	What is the principal river of Ireland ?
HUM	Which of the following rock 'n roll stars has a `` star '' on Hollywood Boulevard ?
HUM	What kind of women gave Sigmund Freud erotic dreams ?
ENTY	What holidays or observances are celebrated in Italy ?
HUM	What comedian hit the TV screen in 1951 with the NBC afternoon show Time for Ernie ?
ENTY	What Dickens novel has David carrying the message `` Barkis is willin '' to Peggy ?
ENTY	What incident of 1933 did the German Nazis use to justify emergency decrees , imprisoning opponents and vesting more power in themselves ?
LOC	What 's the largest U.S. city on the Great Lakes ?
HUM	Who led the opposition when Konrad Adenauer was Chancellor in Germany ?
HUM	Who is the prime minister of Australia ?
HUM	Who created `` The Muppets '' ?
DESC	For what reason did some San Diego schools stop serving apples ?
ENTY	Name a Salt Lake City newspaper .
HUM	Who invented the game bowling ?
HUM	Who is Johnny Carson ?
NUM	How long is the Coney Island boardwalk ?
HUM	What American poet wrote : `` Good fences make good neighbors '' ?
NUM	What can you be fined for having a dog on a beach ?
ENTY	What are the most common elements in seawater ?
ENTY	Which airplane did Fawaz Younis hijack ?
DESC	How do you find the area of a circle ?
ENTY	What Kennedy was married to Ethel ?
DESC	What is the difference between jazz and blues ?
ENTY	What was the name of the U.S. Navy gunboat in the film The Sand Pebbles ?
ENTY	What meat complemented sweet potatoes and peas in the first TV dinner ?
NUM	When did the Jurassic Period end ?
ENTY	What was the orca 's name that died of a fungal infection at Sea World ?
HUM	Who is considered The First Lady of the American Stage ?
ENTY	What does a resurrectionist steal ?
DESC	What is software piracy ?
DESC	What is the origin of the city `` Corpus Christi '' ?
HUM	Who was the first woman to fly solo across the Atlantic ?
HUM	Who is the current UN Secretary General ?
LOC	Where did the 6th annual meeting of Indonesia-Malaysia forest experts take place ?
NUM	What is the starting salary of a radiographer ?
DESC	What is the difference between a bachelor and a 1 bedroom apartment ?
HUM	What father and son won the Medal of Honor ?
ENTY	What 1915 film was the first to gross $5 million ?
HUM	Who was Darth Vader 's son ?
ENTY	What other name were the `` Little Rascals '' known as ?
DESC	How do I install a tile floor ?
ENTY	How do you say I love you in Spanish ?
DESC	What is the origin of gametophytic tissue ?
ABBR	In a computer , what does SCSI mean ?
LOC	Where can I buy movies on videotape online ?
HUM	Who domesticated the wild turkey ?
DESC	How can a foreigner get a U.S. Social Security card ?
ENTY	What 's the second-most-used murder weapon in the U.S. ?
NUM	What is the quantity of American soldiers still unaccounted for from the Vietnam war ?
NUM	How much stronger is the new vitreous carbon material invented by the Tokyo Institute of Technology compared with the material made from cellulose ?
HUM	Which Doonesbury character was likely to turn into a werewolf ?
ENTY	What is a fear of slime ?
DESC	What is idealab ! ?
LOC	What is the snowiest city in the U.S. ?
DESC	What is fiber in food ?
NUM	How many athletes did Puerto Rico enter in the 1984 Winter Olympics ?
LOC	Where do the Grimace and Mayor McCheese live ?
HUM	Who is the fastest swimmer in the world ?
DESC	Why do oceans contain salt water instead of fresh water ?
DESC	What was the claim to fame of King Camp Gillette ?
DESC	What does the double-O indicate in 007 ?
LOC	Where can I find a lesson plan for teaching the metric system conversion to American standard ?
DESC	How do I register a trade name in North Carolina ?
HUM	What one of the Backstreet Boys are single ?
DESC	What is the `` coppertop '' battery ?
HUM	Who wrote The Look of Love after viewing Ursula Andress ?
NUM	In what year did China and the Republic of Korea establish diplomatic relations ?
DESC	How can anyone tell if a female had sexual intercourse ?
DESC	What is object-oriented design ?
HUM	Name the Four Horsemen of the Apocalypse .
DESC	What was the proper Laugh-In respones to : `` Say goodnight , Dick '' ?
ENTY	What fossilizes to form coprolite ?
NUM	When was the G7 group of nations formed ?
ENTY	What is the dot on an the letter i called ?
HUM	Who is Shirley MacLaine ?
LOC	Where is it planned to berth the merchant ship , Lane Victory , which Merchant Marine veterans are converting into a floating museum ?
DESC	What was the Long March in China ?
LOC	What Tokyo street glitters with famed department stores and nightclubs ?
ENTY	What determines the value of the pearl ?
ENTY	What are the names of the different toes ?
DESC	What are some fun things to do in Cozumel , Mexico for teenagers ?
HUM	What ill-fated American general dragged a bull terrier named Willie through World War II ?
LOC	What is the Homelite Inc. home page ?
HUM	Who said : `` Old soldiers never die ; they just fade away '' ?
HUM	Who are Woody Woodpecker 's niece and nephew ?
NUM	What is the approximate weight of a teaspoon of matter in a black hole ?
NUM	What is the cost of the drugs used in tuberculosis treatments ?
ENTY	What are some important events of the 1830 's ?
NUM	What year was the NAACP founded ?
LOC	The Kentucky Horse Park is located near what city ?
HUM	Who is the president of Bolivia ?
ENTY	What do goldfish lose if kept in dimly-lit or running water ?
LOC	What planet would you visit to see Bebrenia , Arcadia , and Amazonis ?
HUM	What hard-of hearing artist painted Sunflowers ?
LOC	Where does the U.S. get most of its energy ?
HUM	What is the most common name ?
NUM	How long is the border between Canada and the 48 conterminous states ?
NUM	How many people live in cities ?
ENTY	What book opens : `` At a certain village in La Mancha , which I shall not name.. . '' ?
NUM	How many grooves are on a dime ?
HUM	Name a French fascist party .
LOC	Where is Belize located ?
LOC	What country other than Germany invaded Poland in September 1939 ?
DESC	What is hebephrenia ?
ENTY	What drink is the best thirst-quencher ?
NUM	What is the speed of the Mississippi River ?
LOC	What is Stefan Edberg 's native country ?
DESC	What are the lyrics to the Star Spangled Banner ?
HUM	What 's the name of the actress who starred in the movie , `` Silence of the Lambs '' ?
HUM	Who is the Prophet of Medina ?
DESC	What is a caldera ?
LOC	What California bridge was Don Brown the first to cross , on May 27 , 1937 ?
HUM	What Nazi leader killed himself in jail just before he was to be executed as a war criminal ?
DESC	What is the nature of snow and how is the formation of snow different from that of ice ?
ENTY	What developed a crack in 1835 while tolling the death of U.S. Chief Justice John Marshall ?
NUM	How long do cardinal eggs incubate ?
HUM	What was Marilyn Monroe 's real name ?
HUM	Who was the original Humpty Dumpty ?
NUM	How many pairs of wings does a tsetse fly have ?
NUM	How many varieties of apple are there ?
DESC	What is the `` Global Economy '' ?
ENTY	What children 's tale contains the line : `` Come , Cinderslut , and hold this skein of wool for me '' ?
ENTY	What basketball maneuver did Bert Loomis invent ?
HUM	What author was appointed U.S. ambassador to Spain in 1842 ?
DESC	What is the difference between ninjitsu and kung fu ?
DESC	How can you become an FBI agent ?
LOC	What Caribbean island is northeast of Trinidad ?
HUM	What comedienne calls her sister-in-law Captain Bligh and her mother-in-law Moby Dick ?
ENTY	Name a Sioux language .
ENTY	In what Olympic Games did Nadia Comaneci become popular ?
ENTY	What is the alphabet for Latin ?
HUM	What famed clown appeared on an early Howdy Doody Show and insisted that Clarabell be made up as a real clown ?
HUM	Who was Garrett Morgan married to ?
ENTY	How do you say `` fresh '' in Spanish ?
DESC	What is an ecological niche ?
LOC	Where was George Washington born ?
HUM	Who 's The King of Swing ?
HUM	What `` marvelous '' major-league baseball player is now a spokesman for a beer company ?
ENTY	What foods contain the most protein ?
ENTY	What was the first English play written exclusively for children ?
HUM	Who is the famous sister of actress Olivia De Havilland ?
DESC	How does food color affect how you think it will taste ?
DESC	What is `` Nine Inch Nails '' ?
LOC	What is the address for the main government office in Rome , Italy ?
HUM	Who did Dita Beard work for ?
DESC	What is Garry Kasparov famous for ?
DESC	How did Peabody and Sherman travel through time ?
HUM	What is Michael Jackson 's father 's name ?
HUM	Who is Count Cinzano ?
DESC	How can I get in touch with Michael Moore of `` Roger & Me '' ?
DESC	What is a bone marrow transplant ?
DESC	How is ` qigong ' properly pronounced ?
DESC	How do they find an epicenter ?
HUM	Who was the mother of the man who would not be king , the duke of Windsor ?
HUM	What World War II leader declared : `` The blow has been struck '' ?
HUM	Who is the Greek God of the Sea ?
LOC	Where can I find the lyrics for the song ` Getting Married Today ' from the musical ` Company ' ?
NUM	How many people did Randy Steven Craft murder ?
NUM	How many events make up the decathlon ?
LOC	McCarren Airport is located in what city ?
ENTY	What is the correct way to use `` may '' vs. `` might '' ?
ENTY	What is the Jewish bible called ?
NUM	What percentage of children between the ages of two and eleven watch ` The Simpsons ' ?
NUM	What is the current unemployment rate in the U.S. ?
HUM	What are the top 10 colleges in the United States in the field of engineering ?
HUM	What camera company said , `` If you haven 't got the time , we 've got the camera ? ''
ENTY	What 's a `` Drinker respirator '' better known as ?
LOC	Which one of the Great Lakes is entirely within U.S. territory ?
HUM	Who does data collection in tourism ?
HUM	Who is William Wordsworth ?
NUM	How tall is the Matterhorn ?
DESC	Why is the moon different sizes and colors ?
NUM	How many rows of sprocket holes does a roll of 35-millimeter film have ?
LOC	What southwestern state is dubbed The Silver State ?
DESC	Why doesn 't www.answers.com have any answers to my questions ?
LOC	What direction do the best surfing beaches face ?
ENTY	What does a chef coddle eggs in ?
ENTY	What does a deltiologist collect ?
HUM	Who was the conservationist who served as spokesperson for Post Grape Nuts ?
ENTY	What is the name of the Michelangelo painting that shows two hands with fingers touching ?
NUM	What day is known as the `` national day of prayer '' ?
HUM	What company is the largest Japanese ship builder ?
ENTY	What book is the follow-up to Future Shock ?
ENTY	What is one of the languages spoken by the Sioux called ?
HUM	What actress has received the most Oscar nominations ?
HUM	Which of the following people is not associated with Andy Warhol ?
ENTY	What 's the international radio code word for the letter F ?
DESC	Define the Pheonix Club ?
NUM	What was the U.S. highway death toll in 1969 ?
ENTY	Garry Kasparov plays what game ?
LOC	What country , after Canada and Mexico , is closest to the U.S. ?
DESC	What is the historical relationship of Catholic Church and bingo ?
LOC	What is the capital of Uruguay ?
DESC	What is the secret of the universe ?
ENTY	What kind of creatures are black , yellow , and brown bullheads ?
LOC	What are the four largest mountain ranges in the continental United States ?
ENTY	What is the high pitched sound that you hear in your ear every now and then , but then it goes away , after a while ?
DESC	How can I determine the radius of an ellipse ?
HUM	Who won the rugby world cup in ?
LOC	Name the largest country in South America .
ENTY	What did Walter Huston remove to perform in the movie The Treasure of the Sierra Madre ?
ENTY	What Nevil Shute novel is about the doomed survivors of a nuclear war ?
NUM	What is the fare cost for the round trip between New York and London on Concorde ?
ENTY	What is the most popular sports car color ?
ENTY	What dangles over the tongue from the palate ?
ENTY	In which sport is there a `` scrum '' ?
ABBR	What does JESSICA mean ?
HUM	What was football star Elroy Hirsch 's nickname ?
ENTY	What non-alcoholic syrup is made from pomegranate juice ?
DESC	What caused an adjournment of the 25th anniversary session of the United Nations General Assembly ?
NUM	How big is the Electoral College ?
ENTY	What phenomenon would you expect to read about in the monthly publication The Bigfoot News ?
DESC	What is Compaq 's mission statement ?
LOC	What square is the geographical center of London ?
HUM	What is the name of the firm that makes Spumante ?
LOC	What general direction does the journey in Around the World in 80 Days proceed in ?
HUM	What was the business of the animated Sky Hawks ?
NUM	How many oceans are there and name them ?
NUM	How many people watch network television ?
LOC	What mountain range marks the border of France and Spain ?
NUM	How old was Gene Siskel ?
LOC	What is the greatest hiking Web site ?
DESC	Why is Jane Goodall famous ?
NUM	What is the fine for having a dog on a beach ?
HUM	What piano company claims its product is the `` Instrument of the immortals '' ?
HUM	What is the name of Dolly Parton 's rarely seen husband ?
LOC	Where can you find the Venus flytrap ?
NUM	How much does a new railroad coal car cost ?
HUM	Name the organization that is presided by a Security Council .
NUM	How many questions are on this thing ?
LOC	Where does Buzz Aldrin want to build a permanent , manned space station ?
HUM	Who 's the only man to have won the Olympic decathlon twice ?
ENTY	What `` little red car '' is mentioned in pop singer Prince 's hit song ?
ENTY	What three colors of ink are used to print a U.S. dollar bill ?
HUM	What author of the Days of Our Lives Cookbook signed on in 198 as Liz Chandler in TV 's Days of Our Lives ?
ENTY	What do ladybugs eat ?
DESC	What do economists do ?
ENTY	At Christmas time , what is the traditional thing to do under the mistletoe ?
DESC	Why is hockey so violent ?
DESC	How do you find oxidation numbers ?
HUM	Who is the richest person in the world , without owning a business ?
ENTY	Name the soft drink that is `` number one in the sun . ''
ENTY	What is chronic constipation a symptom of ?
NUM	What season begins with the vernal equinox ?
DESC	How did ` stat ' come to be used as an expression for quickly ?
DESC	What are those little blue reflectors in the middle of the road for ?
NUM	How many colonies did Germany get to keep after World War I ?
HUM	What company started out making pies , and wound up manufacturing plastic throwing toys ?
ENTY	What was originally defined as one 1-millionth of the distance from the equator to the Pole ?
HUM	Who is the prophet of the religion of Islam ?
LOC	Where did George of the Jungle live ?
DESC	What is the HIGHEST Roman numeral ?
LOC	Where can I get information and statistics on countries and nations ?
LOC	Where is the official `` zero '' of the sea level ?
DESC	What is the history of Hot Wheels cars , and how are they produced ?
ENTY	What are emblazoned on the Jolly Roger ?
HUM	What hockey player did Ronald Reagan joke he would swap Texas for ?
ENTY	What did Englishman John Hawkins begin selling to New World colonists in 1562 ?
NUM	When is the Tulip Festival in Michigan ?
ENTY	What was the first video ever made ?
ENTY	What is Nebraska 's most valuable resource ?
DESC	What is the nature of learning ?
HUM	Who is the youngest of the Beatles ?
NUM	When are the Oscars Academy Awards in 1999 ?
DESC	How does crosstalk relate to InSb thickness in infrared detectors ?
DESC	What is real time processing ?
NUM	How long does a human live ?
DESC	What will a compass do in outer space ?
DESC	What makes sperm ?
ENTY	What is the folklore story regarding birds ' nests and birds in Christmas trees ?
ENTY	What was the eighth day following the Nones in each month of the Roman calendar called ?
HUM	Who made a boat out of gopher wood ?
ENTY	What animals did The Amazing Three masquerade as ?
HUM	What are Arnold Palmer 's fans called ?
ENTY	What is the only substance that gives food its `` taste '' when eaten ?
NUM	When did President Kennedy , Lee Harvey Oswald , and Jack Ruby all die ?
ENTY	What TV show premiered on January 15 , 1981 ?
LOC	What city has the two steepest streets in the U.S. ?
DESC	How do companies cut paper so thin ?
DESC	What is time ?
LOC	What Caribbean island is sometimes called Little England ?
ENTY	In what ways did Ivan IV support Russian expansion ?
DESC	What were the causes of the Civil War ?
DESC	What is the definition of low island ?
LOC	What town was the setting for The Music Man ?
LOC	What is the capital of Congo ?
ENTY	What animal do buffalo wings come from ?
ENTY	What is a term for behavior , appearance , or expression that violates the accepted standards of sexual morality ?
NUM	How many South American countries have the letter Z in their names ?
NUM	How many furlongs are there in a mile-and-a-quarter recetrack ?
NUM	What are the dimensions of an ice hockey goal ?
ENTY	What 's the name of Jacques Cousteau 's research ship ?
NUM	When will Jean Aeul publish her next book ?
ENTY	What does it take to be a hero ?
NUM	How much did a McDonald 's hamburger cost in 1963 ?
NUM	How long does it take to travel from Tokyo to Niigata ?
NUM	How many inches apart are adjacent pins in tenpin bowling ?
NUM	How many times in his 16-year National Basketball Associaton career was John Havlicek a member of the all-star team ?
HUM	Who is the richest person in the world ?
HUM	Which radio stations air the Jim Bohannon Radio Talk Show ?
DESC	What does a nihilist believe in ?
DESC	How do I know if I 'm jealous of someone ?
ENTY	Which infectious disease kills the most people worldwide ?
NUM	How many months does a normal human pregnancy last ?
DESC	What ever happened to the once popular Yale Lock Company ?
LOC	Where can I get piano music for the Jamiroquai song Everyday for the midi ?
ENTY	What disease plagued Europe , Africa and Asia ?
ENTY	What color of dry wine should be served with veal roasts and chops ?
NUM	How old is Bernadette Peters ?
NUM	How much of the silver production is manufactured by independent silversmiths ?
HUM	What barroom judge called himself The Law West of the Pecos ?
DESC	What does the name Calder mean ?
HUM	Who starred with Charlie Chaplin in Modern Times and The Great Dictator ?
DESC	What is a philanthropist ?
ENTY	What is Beethoven 's 9th symphony called ?
HUM	What was the name of the US helicopter pilot shot down over North Korea ?
HUM	Who holds the NFL record for most touchdowns in a season ?
ENTY	What are the main blood vessels ?
DESC	Where did the energy for the Big Bang come from ?
LOC	What is the web address of the list of e-mail addresses of members of the House of Representatives ?
HUM	Who was Hitler 's minister of propaganda ?
HUM	What store claims to be the world 's largest department store ?
NUM	How many sperm cells are in an average ejaculation ?
DESC	What is it like to experience a near death episode ?
HUM	What is the name of the woman who was with John Belushi when he died ?
DESC	What was the claim to fame of Explorer I , launched February 1 , 1958 ?
DESC	How do you select wine ?
LOC	What mountains lie between the Arkansas and Missouri rivers ?
ENTY	Name a medicine commonly used to combat AIDS ?
ENTY	What terror of the sea did Johnny Horton sing about ?
HUM	Who is the only prime minister of Canada to serve 22 years but not necessarily consecutively ?
DESC	What is a stratocaster ?
ENTY	What color are seven of every 10 houses in the U.S. ?
HUM	Who was America 's first Public Enemy No. 1 ?
NUM	How many double-word-score spaces are there on a Scrabble Crossword Game board ?
DESC	What is meant by blood SED rate ?
DESC	What 's distinctive about a palmiped 's feet ?
NUM	How many Superbowls have the ers won ?
HUM	What contemptible scoundrel stole the cork from my lunch ?
LOC	What is the largest office block in the world ?
ENTY	What drug did Sigmund Freud become fascinated with while experimenting with the treatment of neurasthenia ?
LOC	Where is the group M People from ?
HUM	What future deer hunter portrayed Annie Hall 's neurotic brother , Duane ?
DESC	What is pandoro ?
ENTY	What is the only animal that can turn its stomach inside out ?
NUM	How many people did the United Nations commit to help restore order and distribute humanitarian relief in Somalia in September 1992 ?
HUM	Who was the architect of Central Park ?
DESC	How do you dunk ?
DESC	What is a swatch ?
ABBR	What does e.g. stand for ?
NUM	How much did Manchester United spend on players in 1993 ?
NUM	How high must a mountain be to be called a mountain ?
LOC	What Scandinavian capital is built on nine bridge-connected islands ?
DESC	What does `` antidisestablishmentarianism '' mean ?
DESC	How can people from Ireland come to the U.S. , work , and then return to Ireland ?
HUM	What Polynesian people inhabit New Zealand ?
HUM	Who sang about Desmond and Molly Jones ?
LOC	What 's the longest river in Canada ?
NUM	When were camcorders introduced in Malaysia ?
DESC	What is Bombay duck ?
ABBR	What does the abbreviation IOC stand for ?
HUM	Who was the first black performer to have his own network TV show ?
DESC	How is silk screening done ?
HUM	What costume designer decided that Michael Jackson should only wear one glove ?
DESC	Why is Microsoft 's Windows 3 software so successful ?
HUM	Who is the fastest guitarist ?
LOC	What strait links the Mediterranean Sea and the Atlantic Ocean ?
HUM	Who sought to create The Great Society ?
HUM	Who built the first pyramid ?
NUM	What year was Desmond Mpilo Tutu awarded the Nobel Peace Prize ?
DESC	How can you tell when figs are ripe ?
NUM	What phone number can I call to have a tree planted ?
HUM	Who sings the song `` Drink to me with thine eyes '' by Ben Johnson ?
ENTY	What is Latin for incompetent ?
HUM	What baseball team owner and sailor is known as The Mouth of the South ?
ENTY	What animals acted as lapwarmers for American colonists in church ?
DESC	What is a pig in a poke ?
LOC	What is the US Federal Government website for Standard Industrial Classification codes , SIC , ?
ENTY	What animal has been called The Poor Man 's Cow ?
HUM	Who was Jane Goodall ?
LOC	Where is Natchitoches , Louisiana ?
ENTY	What album put The Beatles on the cover of Time in 1967 ?
LOC	What is the richest state in the U.S. ?
LOC	Where was Christopher Columbus born ?
ENTY	What sport features slotbacks , tailbacks , and touchbacks ?
LOC	Which large U.S. city had the highest murder rate for 1988 ?
DESC	What does the term 3 mean to a newspaper editor ?
ENTY	Which is the best opening move in chess ?
LOC	Where is the Kentucky Horse Park ?
LOC	What is the most populated city in the world ?
ENTY	What tennis term is said to come from the French word for egg ?
DESC	What is meant by `` capital market '' ?
HUM	Who reports the weather on the `` Good Morning America '' television show ?
DESC	What is Eagle 's syndrome styloid process ?
DESC	How can you get rust stains out of clothing ?
ENTY	What did 8 , CD NNS VBP TO VB NNP POS NN .
ENTY	What spice do chefs pay the most for ?
HUM	Who painted Mother and Child ?
LOC	Where do you find the answers for all these questions ?
ENTY	What do manatees eat ?
LOC	Where can I find the history of the Hungarian language ?
HUM	What engineer invented the pull-tab can ?
HUM	What relative of Leo Tolstoy translated War and Peace eight times ?
DESC	What is the origin of the word , JJ .
LOC	What Rocky Mountain ridge separates North America 's eastward and westward-flowing rivers ?
NUM	How many calories are there in soy sauce ?
LOC	What is the highest peak in Africa ?
NUM	How far can a human eye see ?
NUM	How long do hermit crabs live ?
ABBR	What does snafu stand for ?
LOC	Where are the apartments in Saint John , New Brunswick ?
HUM	Who played the title role in I Was a Teenage Werewolf ?
ENTY	What card game can feature dealer 's choice ?
HUM	Who shoplifts ?
ENTY	What is a 2-sided object called ?
NUM	What was Einstein 's IQ ?
LOC	Where did Ty Cobb grow up ?
LOC	What continent 's second-highest peak is Mont Blanc ?
LOC	What is a reliable site that I can download Heretic 2 ?
DESC	How do I find a city if I have the area code ?
DESC	What do the red-and-white stripes on a barbershop pole stand for ?
HUM	Who played Lucas McCain on The Rifleman ?
NUM	How long ago did the Anglican church part from the Vatican ?
LOC	The Orange Bowl is in what city ?
NUM	How long does it take different materials to decompose ?
DESC	What are amphibians ?
NUM	How many people hike ?
NUM	How many points is a bullseye worth in darts ?
NUM	How many members are in the California congressional delegation ?
DESC	Why does it snow ?
HUM	Who won the 1967 Academy Award for Best Actor ?
HUM	Who created the World Wide Web , WWW ?
DESC	What is the origin of the word assassinate ?
ABBR	What is Mikhail Gorbachev 's middle initial ?
NUM	What is the current ticket fare from from Cairo to Barbados ?
DESC	How can I get a CCT diagram ?
DESC	How do you calculate the change in enthalpy of a chemical reaction ?
HUM	Who 's the only president buried in Washington
DESC	How did former WWF wrestler Rick Rude die ?
ENTY	What does an ashen-faced eidologist search out the existence of ?
HUM	What is her husband 's name ?
HUM	What was the name of the first Russian astronaut to do a spacewalk ?
DESC	What do I need to do to take my dog with me to live in Dominica , West Indies for a year ?
HUM	What business exports the sparkling wine Spumante ?
HUM	Who was the Columbia Pictures head who forged actor Cliff Robertson 's name on a $1 , 000 check ?
HUM	Name the child left on a doorstep at the beginning of Gasoline Alley .
NUM	What is the per-capita income of Colombia , South America , ?
LOC	What European country boasts the city of Furth , found where the rivers Rednitz and Pegnitz converge ?
ENTY	What was the tragedy that struck the city of Dogtown in 1899 ?
LOC	What 's the northernmost U.S. state apart from Alaska ?
LOC	What planet did Percival Lovell discover ?
HUM	What diminutive American female gymnast stole the show at the 1984 Olympics ?
ENTY	What is the softest part of the body ?
HUM	What kind of company is 7-Eleven ?
ENTY	What is `` the soft drink for adults '' ?
LOC	What are the four largest mountain ranges on the Asian continent ?
HUM	Who was the lawyer who represented Randy Steven Craft ?
DESC	How can I find a list of , fax and or email , addresses for human resource departments in Massachusetts ?
NUM	When was the first American encyclopedia published ?
ENTY	What gender is not allowed to vote in Kuwait ?
LOC	What South American city has the world 's highest commercial landing field ?
NUM	How many milligrams are in a gram ?
HUM	What actor came to dinner in Guess Who 's Coming to Dinner ?
NUM	What is the regular price ?
DESC	What 's a `` coup de poing '' to a French boxer ?
ENTY	What drug is often used to treat AIDS patients ?
DESC	How can I easily remove red wine stains from t-shirts ?
DESC	What facial feature typically contains about 55 hairs ?
LOC	What North American city would you visit to see Cleopatra 's Needle ?
NUM	What year was the ATM first introduced ?
DESC	What is Linux ?
ENTY	Name four comic strips about pilots .
HUM	Who were the five Marx brothers ?
LOC	What London street is the home of British journalism ?
LOC	What city is wiener schnitzel named for ?
LOC	What city 's the kickoff point for climbs of Mount Everest ?
NUM	How long ago was the Roe vs. Wade decision by the Supreme Court ?
NUM	When was the Bill of Rights ratified ?
DESC	How is water treated to make it safe to drink ?
